date,x1
197801,6.84
197802,6.43
197803,6.55
197804,6.5
197805,6.97
197806,7.41
197807,7.7
197808,7.84
197809,8.31
197810,8.93
197811,8.89
197812,9.02
197901,9.28
197902,9.86
197903,10.09
197904,10.49
197905,10.85
197906,10.89
197907,11.26
197908,11.82
197909,12.18
197910,12.07
197911,12.61
197912,13.29
198001,13.91
198002,14.18
198003,14.76
198004,14.73
198005,14.41
198006,14.38
198007,13.13
198008,12.87
198009,12.6
198010,12.77
198011,12.65
198012,12.52
198101,11.83
198102,11.41
198103,10.49
198104,10.0
198105,9.78
198106,9.55
198107,10.76
198108,10.8
198109,10.95
198110,10.14
198111,9.59
198112,8.92
198201,8.39
198202,7.62
198203,6.78
198204,6.51
198205,6.68
198206,7.06
198207,6.44
198208,5.85
198209,5.04
198210,5.14
198211,4.59
198212,3.83
198301,3.71
198302,3.49
198303,3.6
198304,3.9
198305,3.55
198306,2.58
198307,2.46
198308,2.56
198309,2.86
198310,2.85
198311,3.27
198312,3.79
198401,4.19
198402,4.6
198403,4.8
198404,4.56
198405,4.23
198406,4.22
198407,4.2
198408,4.29
198409,4.27
198410,4.26
198411,4.05
198412,3.95
198501,3.53
198502,3.52
198503,3.7
198504,3.69
198505,3.77
198506,3.76
198507,3.55
198508,3.35
198509,3.14
198510,3.23
198511,3.51
198512,3.8
198601,3.89
198602,3.11
198603,2.26
198604,1.59
198605,1.49
198606,1.77
198607,1.58
198608,1.57
198609,1.75
198610,1.47
198611,1.28
198612,1.1
198701,1.46
198702,2.1
198703,3.03
198704,3.78
198705,3.86
198706,3.65
198707,3.93
198708,4.28
198709,4.36
198710,4.53
198711,4.53
198712,4.43
198801,4.05
198802,3.94
198803,3.93
198804,3.9
198805,3.89
198806,3.96
198807,4.13
198808,4.02
198809,4.17
198810,4.25
198811,4.25
198812,4.42
198901,4.67
198902,4.83
198903,4.98
198904,5.12
198905,5.36
198906,5.17
198907,4.98
198908,4.71
198909,4.34
198910,4.49
198911,4.66
198912,4.65
199001,5.2
199002,5.26
199003,5.23
199004,4.71
199005,4.36
199006,4.67
199007,4.82
199008,5.62
199009,6.16
199010,6.29
199011,6.27
199012,6.11
199101,5.65
199102,5.31
199103,4.9
199104,4.89
199105,4.95
199106,4.7
199107,4.45
199108,3.8
199109,3.39
199110,2.92
199111,2.99
199112,3.06
199201,2.6
199202,2.82
199203,3.19
199204,3.18
199205,3.02
199206,3.09
199207,3.16
199208,3.15
199209,2.99
199210,3.2
199211,3.05
199212,2.9
199301,3.26
199302,3.25
199303,3.09
199304,3.23
199305,3.22
199306,3.0
199307,2.78
199308,2.77
199309,2.69
199310,2.75
199311,2.68
199312,2.75
199401,2.52
199402,2.52
199403,2.51
199404,2.36
199405,2.29
199406,2.49
199407,2.77
199408,2.9
199409,2.96
199410,2.61
199411,2.67
199412,2.67
199501,2.8
199502,2.86
199503,2.85
199504,3.05
199505,3.19
199506,3.04
199507,2.76
199508,2.62
199509,2.54
199510,2.81
199511,2.61
199512,2.54
199601,2.73
199602,2.65
199603,2.84
199604,2.9
199605,2.89
199606,2.75
199607,2.95
199608,2.88
199609,3.0
199610,2.99
199611,3.26
199612,3.32
199701,3.04
199702,3.03
199703,2.76
199704,2.5
199705,2.23
199706,2.3
199707,2.23
199708,2.23
199709,2.15
199710,2.08
199711,1.83
199712,1.7
199801,1.57
199802,1.44
199803,1.37
199804,1.44
199805,1.69
199806,1.68
199807,1.68
199808,1.62
199809,1.49
199810,1.49
199811,1.55
199812,1.61
199901,1.67
199902,1.61
199903,1.73
199904,2.28
199905,2.09
199906,1.96
199907,2.14
199908,2.26
199909,2.63
199910,2.56
199911,2.62
199912,2.68
200001,2.74
200002,3.22
200003,3.76
200004,3.07
200005,3.19
200006,3.73
200007,3.66
200008,3.41
200009,3.45
200010,3.45
200011,3.45
200012,3.39
200101,3.73
200102,3.53
200103,2.92
200104,3.27
200105,3.62
200106,3.25
200107,2.72
200108,2.72
200109,2.65
200110,2.13
200111,1.9
200112,1.55
200201,1.14
200202,1.14
200203,1.48
200204,1.64
200205,1.18
200206,1.07
200207,1.46
200208,1.8
200209,1.51
200210,2.03
200211,2.2
200212,2.38
200301,2.6
200302,2.98
200303,3.02
200304,2.22
200305,2.06
200306,2.11
200307,2.11
200308,2.16
200309,2.32
200310,2.04
200311,1.77
200312,1.88
200401,1.93
200402,1.69
200403,1.74
200404,2.29
200405,3.05
200406,3.27
200407,2.99
200408,2.65
200409,2.54
200410,3.19
200411,3.52
200412,3.26
200501,2.97
200502,3.01
200503,3.15
200504,3.51
200505,2.8
200506,2.53
200507,3.17
200508,3.64
200509,4.69
200510,4.35
200511,3.46
200512,3.42
200601,3.99
200602,3.6
200603,3.36
200604,3.55
200605,4.17
200606,4.32
200607,4.15
200608,3.82
