date,x1
200609,2.06
200610,1.31
200611,1.97
200612,2.54
200701,2.08
200702,2.42
200703,2.78
200704,2.57
200705,2.69
200706,2.69
200707,2.36
200708,1.97
200709,2.76
200710,3.54
200711,4.31
200712,4.08
200801,4.28
200802,4.03
200803,3.98
200804,3.94
200805,4.18
200806,5.02
200807,5.6
200808,5.37
200809,4.94
200810,3.66
200811,1.07
200812,0.09
200901,0.03
200902,0.24
200903,-0.38
200904,-0.74
200905,-1.28
200906,-1.43
200907,-2.1
200908,-1.48
200909,-1.29
200910,-0.18
200911,1.84
200912,2.72
201001,2.63
201002,2.14
201003,2.31
201004,2.24
201005,2.02
201006,1.05
201007,1.24
201008,1.15
201009,1.14
201010,1.17
201011,1.14
201012,1.5
201101,1.63
201102,2.11
201103,2.68
201104,3.16
201105,3.57
201106,3.56
201107,3.63
201108,3.77
201109,3.87
201110,3.53
201111,3.39
201112,2.96
201201,2.93
201202,2.87
201203,2.65
201204,2.3
201205,1.7
201206,1.66
201207,1.41
201208,1.69
201209,1.99
201210,2.16
201211,1.76
201212,1.74
201301,1.59
201302,1.98
201303,1.47
201304,1.06
201305,1.36
201306,1.75
201307,1.96
201308,1.52
201309,1.18
201310,0.96
201311,1.24
201312,1.5
201401,1.58
201402,1.13
201403,1.51
201404,1.95
201405,2.13
201406,2.07
201407,1.99
201408,1.7
201409,1.66
201410,1.66
201411,1.32
201412,0.76
201501,-0.09
201502,-0.03
201503,-0.07
201504,-0.2
201505,-0.04
201506,0.12
201507,0.17
201508,0.2
201509,-0.04
201510,0.17
201511,0.5
201512,0.73
201601,1.37
201602,1.02
201603,0.85
201604,1.13
201605,1.02
201606,1.0
201607,0.83
201608,1.06
201609,1.46
201610,1.64
201611,1.69
201612,2.07
201701,2.5
201702,2.74
201703,2.38
201704,2.2
201705,1.87
201706,1.63
201707,1.73
201708,1.94
201709,2.23
201710,2.04
201711,2.2
201712,2.11
201801,2.07
201802,2.21
201803,2.36
201804,2.46
201805,2.8
201806,2.87
201807,2.95
201808,2.7
201809,2.28
201810,2.52
201811,2.18
201812,1.91
201901,1.55
201902,1.52
201903,1.86
201904,2.0
201905,1.79
201906,1.65
201907,1.81
201908,1.75
201909,1.71
201910,1.76
201911,2.05
201912,2.29
202001,2.49
202002,2.33
202003,1.54
202004,0.33
202005,0.12
202006,0.65
202007,0.99
202008,1.31
202009,1.37
202010,1.18
202011,1.17
202012,1.36
202101,1.4
202102,1.68
202103,2.62
202104,4.16
202105,4.99
202106,5.39
202107,5.37
202108,5.25
202109,5.39
202110,6.22
202111,6.81
202112,7.04
202201,7.48
202202,7.87
202203,8.54
202204,8.26
202205,8.58
202206,9.06
202207,8.52
202208,8.26
202209,8.2
202210,7.75
202211,7.11
202212,6.45
202301,6.41
202302,6.04
202303,4.98
202304,4.93
