start_end_date,const_std_error,x1_std_error,x2_std_error,const_peak,x1_peak,x2_peak
198812-200811,0.13,0.04,0.05,0,0,0
198901-200812,0.13,0.04,0.05,0,0,0
198902-200901,0.13,0.04,0.05,0,0,0
198903-200902,0.13,0.04,0.05,0,0,0
198904-200903,0.13,0.04,0.06,0,0,0
198905-200904,0.13,0.04,0.05,0,0,0
198906-200905,0.13,0.04,0.05,0,0,0
198907-200906,0.13,0.04,0.05,0,0,0
198908-200907,0.13,0.03,0.05,0,0,0
198909-200908,0.13,0.03,0.05,0,0,0
198910-200909,0.13,0.03,0.05,0,0,0
198911-200910,0.13,0.03,0.05,0,0,0
198912-200911,0.13,0.03,0.05,0,0,0
199001-200912,0.13,0.03,0.05,0,0,0
199002-201001,0.13,0.03,0.05,0,0,0
199003-201002,0.13,0.03,0.05,0,0,0
199004-201003,0.13,0.03,0.05,0,0,0
199005-201004,0.13,0.03,0.05,0,0,0
199006-201005,0.13,0.03,0.05,0,0,0
199007-201006,0.13,0.03,0.05,0,0,0
199008-201007,0.13,0.03,0.05,0,0,0
199009-201008,0.13,0.03,0.05,0,0,0
199010-201009,0.13,0.03,0.05,0,0,0
199011-201010,0.13,0.03,0.05,0,0,0
199012-201011,0.13,0.03,0.05,0,0,0
199101-201012,0.13,0.03,0.05,0,0,0
199102-201101,0.13,0.03,0.05,0,0,0
199103-201102,0.14,0.03,0.05,0,0,0
199104-201103,0.13,0.03,0.05,0,0,0
199105-201104,0.13,0.03,0.05,0,0,0
199106-201105,0.13,0.03,0.05,0,0,0
199107-201106,0.13,0.03,0.05,0,0,0
199108-201107,0.13,0.03,0.05,0,0,0
199109-201108,0.13,0.03,0.05,0,0,0
199110-201109,0.13,0.03,0.05,0,0,0
199111-201110,0.13,0.03,0.05,0,0,0
199112-201111,0.13,0.03,0.05,0,0,0
199201-201112,0.13,0.03,0.05,0,0,0
199202-201201,0.13,0.03,0.05,0,0,0
199203-201202,0.13,0.03,0.05,0,0,0
199204-201203,0.13,0.03,0.05,0,0,0
199205-201204,0.13,0.03,0.05,0,0,0
199206-201205,0.13,0.03,0.05,0,0,0
199207-201206,0.13,0.03,0.05,0,0,0
199208-201207,0.13,0.03,0.05,0,0,0
199209-201208,0.13,0.03,0.05,0,0,0
199210-201209,0.13,0.03,0.05,0,0,0
199211-201210,0.13,0.03,0.05,0,0,0
199212-201211,0.13,0.03,0.05,0,0,0
199301-201212,0.13,0.03,0.05,0,0,0
199302-201301,0.13,0.03,0.05,0,0,0
199303-201302,0.13,0.03,0.04,0,0,0
199304-201303,0.13,0.03,0.04,0,0,0
199305-201304,0.13,0.03,0.04,0,0,0
199306-201305,0.13,0.03,0.04,0,0,0
199307-201306,0.13,0.03,0.04,0,0,0
199308-201307,0.13,0.03,0.04,0,0,0
199309-201308,0.13,0.03,0.04,0,0,0
199310-201309,0.13,0.03,0.04,0,0,0
199311-201310,0.13,0.03,0.04,0,0,0
199312-201311,0.13,0.03,0.04,0,0,0
199401-201312,0.13,0.03,0.04,0,0,0
199402-201401,0.13,0.03,0.04,0,0,0
199403-201402,0.13,0.03,0.04,0,0,0
199404-201403,0.13,0.03,0.04,0,0,0
199405-201404,0.13,0.03,0.04,0,0,0
199406-201405,0.13,0.03,0.04,0,0,0
199407-201406,0.13,0.03,0.04,0,0,0
199408-201407,0.13,0.03,0.04,0,0,0
199409-201408,0.13,0.03,0.04,0,0,0
199410-201409,0.13,0.03,0.04,0,0,0
199411-201410,0.13,0.03,0.04,0,0,0
199412-201411,0.13,0.03,0.04,0,0,0
199501-201412,0.13,0.03,0.04,0,0,0
199502-201501,0.13,0.03,0.04,0,0,0
199503-201502,0.13,0.03,0.04,0,0,0
199504-201503,0.13,0.03,0.04,0,0,0
199505-201504,0.13,0.03,0.04,0,0,0
199506-201505,0.13,0.03,0.04,0,0,0
199507-201506,0.13,0.03,0.04,0,0,0
199508-201507,0.13,0.03,0.04,0,0,0
199509-201508,0.13,0.03,0.04,0,0,0
199510-201509,0.13,0.03,0.04,0,0,0
199511-201510,0.13,0.03,0.04,0,0,0
199512-201511,0.13,0.03,0.04,0,0,0
199601-201512,0.13,0.03,0.04,0,0,0
199602-201601,0.13,0.03,0.04,0,0,0
199603-201602,0.13,0.03,0.04,0,0,0
199604-201603,0.12,0.03,0.04,0,0,0
199605-201604,0.12,0.03,0.04,0,0,0
199606-201605,0.12,0.03,0.04,0,0,0
199607-201606,0.12,0.03,0.04,0,0,0
199608-201607,0.12,0.03,0.04,0,0,0
199609-201608,0.12,0.03,0.04,0,0,0
199610-201609,0.12,0.03,0.04,0,0,0
199611-201610,0.12,0.03,0.04,0,0,0
199612-201611,0.12,0.03,0.04,0,0,0
199701-201612,0.12,0.03,0.04,0,0,0
199702-201701,0.12,0.03,0.04,0,0,0
199703-201702,0.12,0.03,0.04,0,0,0
199704-201703,0.12,0.03,0.04,0,0,0
199705-201704,0.12,0.03,0.04,0,0,0
199706-201705,0.12,0.03,0.04,0,0,0
199707-201706,0.12,0.03,0.04,0,0,0
199708-201707,0.12,0.03,0.04,0,0,0
199709-201708,0.12,0.03,0.04,0,0,0
199710-201709,0.12,0.03,0.04,0,0,0
199711-201710,0.12,0.03,0.04,0,0,0
199712-201711,0.12,0.03,0.04,0,0,0
199801-201712,0.12,0.03,0.04,0,0,0
199802-201801,0.12,0.03,0.04,0,0,0
199803-201802,0.12,0.03,0.04,0,0,0
199804-201803,0.12,0.03,0.04,0,0,0
199805-201804,0.12,0.03,0.04,0,0,0
199806-201805,0.12,0.03,0.04,0,0,0
199807-201806,0.12,0.03,0.04,0,0,0
199808-201807,0.12,0.03,0.04,0,0,0
199809-201808,0.12,0.03,0.04,0,0,0
199810-201809,0.12,0.03,0.04,0,0,0
199811-201810,0.12,0.03,0.04,0,0,0
199812-201811,0.12,0.03,0.04,0,0,0
199901-201812,0.12,0.03,0.04,0,0,0
199902-201901,0.12,0.03,0.04,0,0,0
199903-201902,0.12,0.03,0.04,0,0,0
199904-201903,0.12,0.03,0.04,0,0,0
199905-201904,0.12,0.03,0.04,0,0,0
