Year,PredictedInflation,ActualInflation
1992,3.62,3.16
1993,3.97,2.78
1994,3.95,2.77
1995,3.74,2.76
1996,3.97,2.95
1997,3.16,2.23
1998,2.82,1.68
1999,2.83,2.14
2000,3.62,3.66
2001,2.88,2.72
2002,2.59,1.46
2003,2.17,2.11
2004,3.48,2.99
2005,3.56,3.17
2006,3.78,4.15
2007,4.21,2.36
2008,6.36,5.6
2009,3.42,-2.1
2010,3.16,1.24
2011,4.33,3.63
2012,3.83,1.41
2013,3.96,1.96
2014,3.98,1.99
2015,3.6,0.17
2016,3.1,0.83
2017,2.84,1.73
2018,3.52,2.95
2019,3.14,1.81
2020,3.37,0.99
2021,5.76,5.37
2022,8.17,8.52
1978,8.74,7.84
1979,10.78,11.82
1980,8.08,12.87
1981,6.58,10.8
1982,6.02,5.85
1983,4.83,2.56
1984,4.49,4.29
1985,3.46,3.35
1986,3.97,1.57
1987,4.35,4.28
1988,5.38,4.02
1989,4.33,4.71
1990,5.62,5.62
1991,3.83,3.8
1992,3.71,3.15
1993,4.42,2.77
1994,4.41,2.9
1995,3.57,2.62
1996,4.03,2.88
1997,3.19,2.23
1998,2.65,1.62
1999,3.03,2.26
2000,3.48,3.41
2001,2.98,2.72
2002,2.49,1.8
2003,2.64,2.16
2004,2.96,2.65
2005,3.69,3.64
2006,4.6,3.82
2007,3.97,1.97
2008,5.0,5.37
2009,2.73,-1.48
2010,3.32,1.15
2011,4.33,3.77
2012,4.34,1.69
2013,4.11,1.52
2014,3.88,1.7
2015,3.39,0.2
2016,2.89,1.06
2017,3.01,1.94
2018,3.47,2.7
2019,3.32,1.75
2020,3.39,1.31
2021,6.08,5.25
2022,6.02,8.26
1978,7.64,8.31
1979,10.01,12.18
1980,8.4,12.6
1981,7.11,10.95
1982,5.09,5.04
1983,4.79,2.86
1984,4.0,4.27
1985,4.03,3.14
1986,3.29,1.75
1987,4.2,4.36
1988,5.36,4.17
1989,4.56,4.34
1990,5.69,6.16
1991,3.46,3.39
1992,3.58,2.99
1993,4.25,2.69
1994,4.65,2.96
1995,3.76,2.54
1996,4.2,3.0
1997,3.44,2.15
1998,2.54,1.49
1999,3.24,2.63
2000,3.79,3.45
2001,3.13,2.65
2002,2.88,1.51
2003,3.33,2.32
2004,3.1,2.54
2005,5.31,4.69
2006,3.63,2.06
2007,3.83,2.76
2008,4.47,4.94
2009,2.65,-1.29
2010,2.97,1.14
2011,4.25,3.87
2012,4.28,1.99
2013,4.01,1.18
2014,3.75,1.66
2015,3.08,-0.04
2016,2.92,1.46
2017,3.12,2.23
2018,3.21,2.28
2019,3.31,1.71
2020,3.07,1.37
2021,5.94,5.39
