start_end_date,const_std_error,x1_std_error,x2_std_error
199209-201208,0.133,0.034,0.046
199210-201209,0.133,0.033,0.046
199211-201210,0.132,0.033,0.046
199212-201211,0.131,0.033,0.046
199301-201212,0.132,0.033,0.046
199302-201301,0.131,0.033,0.045
199303-201302,0.13,0.032,0.045
199304-201303,0.129,0.032,0.044
199305-201304,0.129,0.032,0.044
199306-201305,0.128,0.031,0.044
199307-201306,0.129,0.031,0.044
199308-201307,0.128,0.031,0.044
199309-201308,0.128,0.031,0.043
199310-201309,0.128,0.031,0.043
199311-201310,0.128,0.031,0.043
199312-201311,0.128,0.031,0.043
199401-201312,0.128,0.03,0.043
199402-201401,0.129,0.03,0.043
199403-201402,0.128,0.03,0.043
199404-201403,0.128,0.03,0.043
199405-201404,0.128,0.03,0.042
199406-201405,0.128,0.03,0.043
199407-201406,0.128,0.03,0.043
199408-201407,0.128,0.03,0.042
199409-201408,0.128,0.03,0.042
199410-201409,0.127,0.029,0.042
199411-201410,0.127,0.029,0.042
199412-201411,0.126,0.029,0.042
199501-201412,0.126,0.029,0.042
199502-201501,0.126,0.029,0.042
199503-201502,0.126,0.029,0.042
199504-201503,0.126,0.028,0.042
199505-201504,0.126,0.028,0.042
199506-201505,0.126,0.028,0.042
199507-201506,0.126,0.028,0.042
199508-201507,0.126,0.027,0.041
199509-201508,0.126,0.027,0.041
199510-201509,0.126,0.027,0.041
199511-201510,0.126,0.027,0.041
199512-201511,0.126,0.027,0.041
199601-201512,0.126,0.026,0.041
199602-201601,0.126,0.026,0.041
199603-201602,0.125,0.026,0.041
199604-201603,0.125,0.026,0.041
199605-201604,0.124,0.026,0.041
199606-201605,0.124,0.026,0.041
199607-201606,0.124,0.026,0.041
199608-201607,0.124,0.026,0.041
199609-201608,0.124,0.026,0.041
199610-201609,0.124,0.026,0.041
199611-201610,0.124,0.026,0.041
199612-201611,0.123,0.026,0.041
199701-201612,0.123,0.026,0.041
199702-201701,0.123,0.026,0.041
199703-201702,0.123,0.026,0.041
199704-201703,0.123,0.026,0.041
199705-201704,0.122,0.026,0.041
199706-201705,0.122,0.026,0.041
199707-201706,0.122,0.026,0.041
199708-201707,0.122,0.026,0.041
199709-201708,0.122,0.026,0.041
199710-201709,0.121,0.026,0.041
199711-201710,0.121,0.026,0.041
199712-201711,0.121,0.026,0.04
199801-201712,0.121,0.026,0.04
199802-201801,0.12,0.026,0.04
199803-201802,0.121,0.026,0.04
199804-201803,0.121,0.026,0.04
199805-201804,0.121,0.026,0.04
199806-201805,0.121,0.026,0.04
199807-201806,0.121,0.026,0.04
199808-201807,0.121,0.025,0.04
199809-201808,0.122,0.025,0.04
199810-201809,0.122,0.025,0.04
199811-201810,0.123,0.025,0.041
199812-201811,0.123,0.025,0.041
199901-201812,0.124,0.026,0.041
199902-201901,0.124,0.026,0.041
199903-201902,0.124,0.026,0.041
199904-201903,0.124,0.026,0.041
199905-201904,0.124,0.026,0.041
