YYYYMM,FPCPITOTLZGUSA,PX1
199007,4.82,4.49
199107,4.45,3.69
199207,3.16,3.62
199307,2.78,3.97
199407,2.77,3.95
199507,2.76,3.74
199607,2.95,3.97
199707,2.23,3.16
199807,1.68,2.82
199907,2.14,2.83
200007,3.66,3.62
200107,2.72,2.88
200207,1.46,2.59
200307,2.11,2.17
200407,2.99,3.48
200507,3.17,3.56
200607,4.15,3.78
200707,2.36,4.21
200807,5.6,6.36
200907,-2.1,3.42
201007,1.24,3.16
201107,3.63,4.33
201207,1.41,3.83
201307,1.96,3.96
201407,1.99,3.98
201507,0.17,3.6
201607,0.83,3.1
201707,1.73,2.84
201807,2.95,3.52
201907,1.81,3.14
202007,0.99,3.37
202107,5.37,5.76
202207,8.52,8.17
197808,7.84,8.74
197908,11.82,10.78
198008,12.87,8.08
198108,10.8,6.58
198208,5.85,6.02
198308,2.56,4.83
198408,4.29,4.49
198508,3.35,3.46
198608,1.57,3.97
198708,4.28,4.35
198808,4.02,5.38
198908,4.71,4.33
199008,5.62,5.62
199108,3.8,3.83
199208,3.15,3.71
199308,2.77,4.42
199408,2.9,4.41
199508,2.62,3.57
199608,2.88,4.03
199708,2.23,3.19
199808,1.62,2.65
199908,2.26,3.03
200008,3.41,3.48
200108,2.72,2.98
200208,1.8,2.49
200308,2.16,2.64
200408,2.65,2.96
200508,3.64,3.69
200608,3.82,4.6
200708,1.97,3.97
200808,5.37,5.0
200908,-1.48,2.73
201008,1.15,3.32
201108,3.77,4.33
201208,1.69,4.34
201308,1.52,4.11
201408,1.7,3.88
201508,0.2,3.39
201608,1.06,2.89
201708,1.94,3.01
201808,2.7,3.47
201908,1.75,3.32
202008,1.31,3.39
202108,5.25,6.08
202208,8.26,6.02
197809,8.31,7.64
197909,12.18,10.01
198009,12.6,8.4
198109,10.95,7.11
198209,5.04,5.09
198309,2.86,4.79
198409,4.27,4.0
198509,3.14,4.03
198609,1.75,3.29
198709,4.36,4.2
198809,4.17,5.36
198909,4.34,4.56
199009,6.16,5.69
199109,3.39,3.46
199209,2.99,3.58
199309,2.69,4.25
199409,2.96,4.65
199509,2.54,3.76
199609,3.0,4.2
199709,2.15,3.44
199809,1.49,2.54
199909,2.63,3.24
200009,3.45,3.79
200109,2.65,3.13
200209,1.51,2.88
200309,2.32,3.33
200409,2.54,3.1
200509,4.69,5.31
200609,2.06,3.63
200709,2.76,3.83
200809,4.94,4.47
200909,-1.29,2.65
201009,1.14,2.97
201109,3.87,4.25
201209,1.99,4.28
201309,1.18,4.01
201409,1.66,3.75
201509,-0.04,3.08
201609,1.46,2.92
201709,2.23,3.12
201809,2.28,3.21
201909,1.71,3.31
202009,1.37,3.07
202109,5.39,5.94
202209,8.2,6.03
197810,8.93,7.43
197910,12.07,8.85
198010,12.77,9.45
198110,10.14,7.07
198210,5.14,5.46
198310,2.85,5.44
198410,4.26,5.02
198510,3.23,4.65
198610,1.47,3.6
