YYYYMM,PX1
197801,6.034798534798535
197802,7.815061963775024
197803,7.039432176656152
197804,7.197860962566845
197805,8.002676181980375
197806,8.199294532627865
197807,7.451612903225806
197808,8.743217054263566
197809,7.644628099173554
197810,7.434640522875817
197811,8.11720698254364
197812,8.24070796460177
197901,8.914600550964188
197902,10.032365145228216
197903,9.847826086956522
197904,10.090225563909774
197905,11.659172661870503
197906,11.783783783783784
197907,11.474903474903474
197908,10.776504297994268
197909,10.013664596273292
197910,8.852697095435685
197911,11.321678321678322
197912,10.586614173228346
198001,12.65542521994135
198002,10.468682505399569
198003,12.006259780907667
198004,10.557098765432098
198005,8.223642172523961
198006,8.580101180438449
198007,8.236427320490368
198008,8.081632653061224
198009,8.402730375426621
198010,9.454394693200664
198011,8.10797342192691
198012,9.924496644295303
198101,8.121555915721231
198102,8.466893039049236
198103,6.687196110210697
198104,8.13888888888889
198105,7.490066225165563
198106,6.690625
198107,6.234662576687117
198108,6.578947368421052
198109,7.110764430577223
198110,7.071535022354695
198111,7.098283931357254
198112,5.586102719033232
198201,5.431164901664145
198202,5.35
198203,5.548780487804878
198204,4.9969558599695585
198205,4.695046439628483
198206,5.741641337386018
198207,5.8562874251497
198208,6.015408320493067
198209,5.092307692307692
198210,5.459119496855346
198211,4.887147335423197
198212,5.131578947368421
198301,4.809302325581395
198302,4.2558823529411764
198303,2.805135951661631
198304,4.147368421052631
198305,4.43993993993994
198306,4.267153284671533
198307,4.421052631578948
198308,4.832012678288431
198309,4.793674698795181
198310,5.442367601246106
198311,5.038461538461538
198312,4.7933753943217665
198401,4.405956112852665
198402,4.952012383900929
198403,4.644916540212443
198404,5.699551569506727
198405,5.293129770992366
198406,4.587962962962963
198407,4.411575562700965
198408,4.48776758409786
198409,4.001545595054096
198410,5.019637462235649
198411,4.874811463046757
198412,4.662141779788839
198501,4.047540983606558
198502,4.3428571428571425
198503,4.133122028526149
198504,4.8713178294573645
198505,4.296529968454259
198506,4.624405705229794
198507,3.701812191103789
198508,3.4611727416798734
198509,4.031847133757962
198510,4.648475120385233
198511,4.3392
198512,5.174757281553398
198601,4.009630818619582
198602,3.4394184168012925
198603,2.6666666666666665
198604,3.0434782608695654
198605,3.3523654159869496
198606,3.71869918699187
198607,3.348314606741573
198608,3.9693053311793216
198609,3.2857142857142856
198610,3.600665557404326
198611,3.7323717948717947
198612,3.998360655737705
198701,3.886326194398682
198702,4.109854604200323
198703,3.727569331158238
198704,3.5657894736842106
198705,4.363934426229508
198706,4.134206219312603
198707,3.933224755700326
198708,4.345454545454546
198709,4.198675496688741
198710,4.130620985010706
198711,3.9157894736842107
198712,3.49789029535865
198801,4.112970711297071
198802,4.512931034482759
198803,4.1099365750528545
198804,4.232704402515723
198805,4.697872340425532
198806,5.029661016949152
198807,5.377398720682303
198808,5.381057268722467
198809,5.355603448275862
198810,5.072805139186295
198811,5.3036093418259025
