year,month,px1,YYYYMM
1956,03,26.8,195603
1957,03,27.8,195703
1958,03,28.8,195803
1959,03,28.9,195903
1960,03,29.4,196003
1961,03,29.8,196103
1962,03,30.1,196203
1963,03,30.5,196303
1964,03,30.9,196403
1965,03,31.3,196503
1966,03,32.1,196603
1967,03,33.0,196703
1968,03,34.3,196803
1969,03,36.1,196903
1970,03,38.2,197003
1971,03,40.0,197103
1972,03,41.4,197203
1973,03,43.3,197303
1974,03,47.8,197403
1975,03,52.7,197503
1976,03,55.9,197603
1977,03,59.5,197703
1978,03,63.4,197803
1979,03,69.8,197903
1980,03,80.1,198003
1981,03,88.5,198103
1982,03,94.5,198203
1983,03,97.9,198303
1984,03,102.6,198403
1985,03,106.4,198503
1986,03,108.8,198603
1987,03,112.1,198703
1988,03,116.5,198803
1989,03,122.3,198903
1990,03,128.7,199003
1991,03,135.0,199103
1992,03,139.3,199203
1993,03,143.6,199303
1994,03,147.2,199403
1995,03,151.4,199503
1996,03,155.7,199603
1997,03,160.0,199703
1998,03,162.2,199803
1999,03,165.0,199903
2000,03,171.2,200003
2001,03,176.2,200103
2002,03,178.8,200203
2003,03,184.2,200303
2004,03,187.4,200403
2005,03,193.3,200503
2006,03,199.8,200603
2007,03,205.352,200703
2008,03,213.528,200803
2009,03,212.709,200903
2010,03,217.631,201003
2011,03,223.467,201103
2012,03,229.392,201203
2013,03,232.773,201303
2014,03,236.293,201403
2015,03,236.119,201503
2016,03,238.132,201603
2017,03,243.801,201703
2018,03,249.554,201803
2019,03,254.202,201903
2020,03,258.115,202003
2021,03,264.877,202103
2022,03,287.504,202203
2023,03,301.836,202303
1913,04,9.8,191304
1914,04,9.8,191404
1915,04,10.0,191504
1916,04,10.6,191604
1917,04,12.6,191704
1918,04,14.2,191804
1919,04,16.7,191904
1920,04,20.3,192004
1921,04,18.1,192104
1922,04,16.7,192204
1923,04,16.9,192304
1924,04,17.0,192404
1925,04,17.2,192504
1926,04,17.9,192604
1927,04,17.3,192704
1928,04,17.1,192804
1929,04,16.9,192904
1930,04,17.0,193004
1931,04,15.5,193104
1932,04,13.9,193204
1933,04,12.6,193304
1934,04,13.3,193404
1935,04,13.8,193504
1936,04,13.7,193604
1937,04,14.3,193704
1938,04,14.2,193804
1939,04,13.8,193904
1940,04,14.0,194004
1941,04,14.3,194104
1942,04,16.1,194204
1943,04,17.4,194304
1944,04,17.5,194404
1945,04,17.8,194504
1946,04,18.4,194604
1947,04,21.9,194704
1948,04,23.8,194804
1949,04,23.9,194904
1950,04,23.6,195004
1951,04,25.8,195104
1952,04,26.4,195204
1953,04,26.6,195304
1954,04,26.8,195404
1955,04,26.7,195504
1956,04,26.9,195604
1957,04,27.9,195704
1958,04,28.9,195804
1959,04,29.0,195904
1960,04,29.5,196004
1961,04,29.8,196104
1962,04,30.2,196204
1963,04,30.5,196304
1964,04,30.9,196404
1965,04,31.4,196504
1966,04,32.3,196604
1967,04,33.1,196704
1968,04,34.4,196804
1969,04,36.3,196904
1970,04,38.5,197004
1971,04,40.1,197104
1972,04,41.5,197204
1973,04,43.6,197304
1974,04,48.0,197404
1975,04,52.9,197504
1976,04,56.1,197604
1977,04,60.0,197704
1978,04,63.9,197804
1979,04,70.6,197904
1980,04,81.0,198004
1981,04,89.1,198104
1982,04,94.9,198204
1983,04,98.6,198304
1984,04,103.1,198404
1985,04,106.9,198504
1986,04,108.6,198604
1987,04,112.7,198704
1988,04,117.1,198804
1989,04,123.1,198904
1990,04,128.9,199004
1991,04,135.2,199104
1992,04,139.5,199204
1993,04,144.0,199304
1994,04,147.4,199404
1995,04,151.9,199504
1996,04,156.3,199604
1997,04,160.2,199704
1998,04,162.5,199804
1999,04,166.2,199904
2000,04,171.3,200004
2001,04,176.9,200104
2002,04,179.8,200204
2003,04,183.8,200304
2004,04,188.0,200404
2005,04,194.6,200504
2006,04,201.5,200604
2007,04,206.686,200704
2008,04,214.823,200804
2009,04,213.24,200904
2010,04,218.009,201004
2011,04,224.906,201104
2012,04,230.085,201204
2013,04,232.531,201304
2014,04,237.072,201404
2015,04,236.599,201504
2016,04,239.261,201604
2017,04,244.524,201704
2018,04,250.546,201804
2019,04,255.548,201904
2020,04,256.389,202004
2021,04,267.054,202104
2022,04,289.109,202204
2023,04,303.363,202304
1913,05,9.7,191305
1914,05,9.9,191405
1915,05,10.1,191505
1916,05,10.7,191605
1917,05,12.8,191705
1918,05,14.5,191805
1919,05,16.9,191905
1920,05,20.6,192005
1921,05,17.7,192105
1922,05,16.7,192205
1923,05,16.9,192305
1924,05,17.0,192405
1925,05,17.3,192505
1926,05,17.8,192605
1927,05,17.4,192705
1928,05,17.2,192805
1929,05,17.0,192905
1930,05,16.9,193005
1931,05,15.3,193105
1932,05,13.7,193205
1933,05,12.6,193305
1934,05,13.3,193405
1935,05,13.8,193505
1936,05,13.7,193605
1937,05,14.4,193705
1938,05,14.1,193805
1939,05,13.8,193905
1940,05,14.0,194005
1941,05,14.4,194105
1942,05,16.3,194205
1943,05,17.5,194305
1944,05,17.5,194405
1945,05,17.9,194505
1946,05,18.5,194605
1947,05,21.9,194705
1948,05,23.9,194805
1949,05,23.8,194905
1950,05,23.7,195005
1951,05,25.9,195105
1952,05,26.4,195205
1953,05,26.7,195305
1954,05,26.9,195405
1955,05,26.7,195505
1956,05,27.0,195605
1957,05,28.0,195705
1958,05,28.9,195805
1959,05,29.0,195905
1960,05,29.5,196005
1961,05,29.8,196105
1962,05,30.2,196205
1963,05,30.5,196305
1964,05,30.9,196405
1965,05,31.4,196505
1966,05,32.3,196605
1967,05,33.2,196705
1968,05,34.5,196805
1969,05,36.4,196905
1970,05,38.6,197005
1971,05,40.3,197105
1972,05,41.6,197205
1973,05,43.9,197305
1974,05,48.6,197405
