date,x2
201601,3.07
201602,2.79
201603,3.14
201604,3.22
201605,2.96
201606,2.98
201607,3.1
201608,2.89
201609,2.92
201610,2.98
201611,2.95
201612,2.73
201701,3.0
201702,3.23
201703,3.07
201704,2.85
201705,2.97
201706,3.1
201707,2.84
201708,3.01
201709,3.12
201710,2.92
201711,2.9
201712,3.01
201801,2.96
201802,3.02
201803,3.21
201804,3.2
201805,3.2
201806,3.49
201807,3.52
201808,3.47
201809,3.21
201810,3.53
201811,3.21
201812,3.17
201901,2.81
201902,3.0
201903,2.85
201904,3.03
201905,3.35
201906,3.42
201907,3.14
201908,3.32
201909,3.31
201910,2.9
201911,2.97
201912,2.7
202001,2.7
202002,2.7
202003,2.5
202004,2.23
202005,2.95
202006,3.18
202007,3.37
202008,3.39
202009,3.07
202010,2.82
202011,2.96
202012,3.1
202101,3.65
202102,4.32
202103,4.3
202104,4.32
202105,5.59
202106,5.93
202107,5.76
202108,6.08
202109,5.94
202110,6.23
202111,6.75
202112,6.26
202201,6.22
202202,6.13
202203,7.67
202204,7.88
202205,7.25
202206,8.36
202207,8.17
202208,6.02
202209,6.03
202210,6.99
202211,6.85
202212,6.41
202301,5.57
202302,5.51
202303,5.31
202304,5.99
