start_end_date,const_std_error,const_peak_minima,const_peak_maxima,x1_std_error,x1_peak_minima,x1_peak_maxima,x2_std_error,x2_peak_minima,x2_peak_maxima
198403-200402,0.13,0.38,0.88,0.04,0.05,0.2,0.05,0.63,0.83
198404-200403,0.13,0.4,0.89,0.04,0.04,0.19,0.05,0.63,0.83
198405-200404,0.13,0.39,0.89,0.04,0.04,0.18,0.05,0.64,0.83
198406-200405,0.13,0.37,0.88,0.04,0.04,0.18,0.05,0.64,0.84
198407-200406,0.13,0.37,0.88,0.04,0.04,0.18,0.05,0.64,0.84
198408-200407,0.13,0.37,0.87,0.04,0.04,0.18,0.05,0.64,0.84
198409-200408,0.13,0.36,0.87,0.04,0.04,0.18,0.05,0.64,0.84
198410-200409,0.13,0.37,0.87,0.04,0.03,0.17,0.05,0.65,0.85
198411-200410,0.13,0.37,0.87,0.04,0.03,0.17,0.05,0.65,0.85
198412-200411,0.13,0.36,0.86,0.04,0.03,0.17,0.05,0.65,0.85
198501-200412,0.13,0.35,0.85,0.04,0.03,0.17,0.05,0.65,0.85
198502-200501,0.13,0.35,0.85,0.04,0.03,0.17,0.05,0.65,0.85
198503-200502,0.13,0.36,0.86,0.04,0.03,0.17,0.05,0.65,0.85
198504-200503,0.13,0.36,0.86,0.04,0.03,0.17,0.05,0.65,0.85
198505-200504,0.13,0.35,0.85,0.04,0.03,0.17,0.05,0.66,0.85
198506-200505,0.13,0.36,0.86,0.04,0.03,0.17,0.05,0.66,0.85
198507-200506,0.13,0.35,0.84,0.04,0.03,0.17,0.05,0.66,0.86
198508-200507,0.13,0.35,0.84,0.04,0.03,0.17,0.05,0.66,0.85
198509-200508,0.13,0.35,0.86,0.04,0.03,0.18,0.05,0.65,0.85
198510-200509,0.13,0.34,0.84,0.04,0.03,0.18,0.05,0.65,0.85
198511-200510,0.13,0.38,0.88,0.04,0.04,0.18,0.05,0.64,0.84
198512-200511,0.13,0.39,0.89,0.04,0.04,0.18,0.05,0.63,0.83
198601-200512,0.13,0.36,0.86,0.04,0.03,0.18,0.05,0.65,0.84
198602-200601,0.13,0.36,0.86,0.04,0.04,0.18,0.05,0.65,0.84
198603-200602,0.13,0.38,0.87,0.04,0.04,0.18,0.05,0.64,0.84
198604-200603,0.13,0.37,0.87,0.04,0.04,0.18,0.05,0.64,0.84
198605-200604,0.13,0.36,0.86,0.04,0.04,0.18,0.05,0.65,0.84
198606-200605,0.13,0.36,0.86,0.04,0.04,0.19,0.05,0.64,0.84
198607-200606,0.13,0.36,0.86,0.04,0.04,0.18,0.05,0.64,0.84
198608-200607,0.13,0.37,0.86,0.04,0.05,0.19,0.05,0.63,0.83
198609-200608,0.13,0.37,0.87,0.04,0.04,0.19,0.05,0.63,0.83
198610-200609,0.13,0.37,0.87,0.04,0.05,0.19,0.05,0.63,0.83
198611-200610,0.13,0.37,0.87,0.04,0.05,0.2,0.05,0.63,0.83
198612-200611,0.13,0.38,0.88,0.04,0.06,0.21,0.05,0.62,0.82
198701-200612,0.13,0.39,0.88,0.04,0.06,0.21,0.05,0.61,0.82
198702-200701,0.13,0.39,0.89,0.04,0.07,0.22,0.05,0.6,0.81
198703-200702,0.13,0.39,0.89,0.04,0.07,0.22,0.05,0.6,0.81
198704-200703,0.13,0.39,0.89,0.04,0.06,0.22,0.05,0.6,0.81
198705-200704,0.13,0.38,0.88,0.04,0.06,0.21,0.05,0.61,0.82
198706-200705,0.13,0.38,0.88,0.04,0.06,0.21,0.05,0.61,0.82
198707-200706,0.13,0.38,0.87,0.04,0.05,0.21,0.05,0.62,0.82
198708-200707,0.13,0.38,0.87,0.04,0.05,0.2,0.05,0.62,0.82
198709-200708,0.13,0.37,0.87,0.04,0.05,0.2,0.05,0.62,0.83
198710-200709,0.13,0.37,0.87,0.04,0.05,0.2,0.05,0.62,0.82
198711-200710,0.13,0.38,0.88,0.04,0.06,0.21,0.05,0.61,0.82
198712-200711,0.13,0.39,0.88,0.04,0.07,0.22,0.05,0.61,0.81
198801-200712,0.13,0.38,0.88,0.04,0.06,0.21,0.05,0.61,0.82
198802-200801,0.13,0.38,0.88,0.04,0.06,0.21,0.05,0.62,0.82
198803-200802,0.13,0.38,0.88,0.04,0.06,0.22,0.05,0.61,0.82
198804-200803,0.13,0.36,0.86,0.04,0.06,0.21,0.05,0.62,0.83
198805-200804,0.13,0.27,0.79,0.04,0.04,0.2,0.05,0.66,0.87
198806-200805,0.13,0.28,0.77,0.04,0.04,0.19,0.05,0.66,0.86
198807-200806,0.12,0.28,0.77,0.04,0.04,0.19,0.05,0.67,0.86
198808-200807,0.12,0.34,0.83,0.04,0.04,0.2,0.05,0.65,0.85
198809-200808,0.13,0.36,0.85,0.04,0.04,0.19,0.05,0.64,0.84
198810-200809,0.13,0.36,0.85,0.04,0.03,0.19,0.05,0.64,0.84
198811-200810,0.13,0.37,0.87,0.04,0.03,0.19,0.05,0.63,0.84
198812-200811,0.13,0.33,0.85,0.04,0.04,0.21,0.05,0.63,0.84
198901-200812,0.13,0.37,0.88,0.04,0.04,0.2,0.05,0.62,0.83
198902-200901,0.13,0.34,0.86,0.04,0.05,0.21,0.05,0.62,0.83
198903-200902,0.13,0.36,0.87,0.04,0.04,0.21,0.05,0.62,0.83
198904-200903,0.13,0.38,0.9,0.04,0.03,0.2,0.06,0.62,0.84
198905-200904,0.13,0.4,0.91,0.04,0.02,0.18,0.05,0.63,0.84
198906-200905,0.13,0.38,0.89,0.04,0.0,0.15,0.05,0.66,0.86
198907-200906,0.13,0.37,0.89,0.04,0.0,0.14,0.05,0.66,0.87
198908-200907,0.13,0.37,0.89,0.03,0.02,0.15,0.05,0.66,0.85
198909-200908,0.13,0.38,0.89,0.03,0.02,0.15,0.05,0.66,0.85
198910-200909,0.13,0.38,0.89,0.03,0.01,0.14,0.05,0.67,0.86
198911-200910,0.13,0.38,0.9,0.03,0.01,0.14,0.05,0.67,0.86
198912-200911,0.13,0.38,0.89,0.03,0.01,0.14,0.05,0.67,0.86
199001-200912,0.13,0.39,0.9,0.03,0.01,0.13,0.05,0.67,0.86
199002-201001,0.13,0.39,0.9,0.03,0.01,0.13,0.05,0.67,0.86
199003-201002,0.13,0.39,0.9,0.03,0.01,0.13,0.05,0.67,0.86
199004-201003,0.13,0.39,0.9,0.03,0.01,0.13,0.05,0.67,0.86
199005-201004,0.13,0.39,0.9,0.03,0.01,0.13,0.05,0.67,0.86
199006-201005,0.13,0.39,0.91,0.03,0.01,0.13,0.05,0.66,0.85
199007-201006,0.13,0.39,0.91,0.03,0.01,0.14,0.05,0.66,0.85
199008-201007,0.13,0.41,0.92,0.03,0.0,0.13,0.05,0.67,0.85
199009-201008,0.13,0.42,0.93,0.03,0.0,0.13,0.05,0.66,0.85
199010-201009,0.13,0.45,0.96,0.03,-0.0,0.12,0.05,0.66,0.84
199011-201010,0.13,0.43,0.95,0.03,-0.0,0.12,0.05,0.66,0.85
199012-201011,0.13,0.42,0.94,0.03,-0.0,0.12,0.05,0.66,0.85
199101-201012,0.13,0.41,0.94,0.03,-0.01,0.12,0.05,0.67,0.86
199102-201101,0.13,0.4,0.93,0.03,-0.0,0.12,0.05,0.67,0.86
199103-201102,0.14,0.38,0.91,0.03,-0.01,0.12,0.05,0.69,0.87
199104-201103,0.13,0.36,0.89,0.03,-0.02,0.11,0.05,0.7,0.88
199105-201104,0.13,0.38,0.9,0.03,-0.02,0.11,0.05,0.69,0.88
199106-201105,0.13,0.38,0.9,0.03,-0.02,0.11,0.05,0.69,0.87
199107-201106,0.13,0.37,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199108-201107,0.13,0.37,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199109-201108,0.13,0.37,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199110-201109,0.13,0.37,0.89,0.03,-0.02,0.12,0.05,0.69,0.88
199111-201110,0.13,0.37,0.89,0.03,-0.02,0.12,0.05,0.69,0.88
199112-201111,0.13,0.37,0.88,0.03,-0.02,0.12,0.05,0.69,0.88
199201-201112,0.13,0.38,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199202-201201,0.13,0.38,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199203-201202,0.13,0.38,0.9,0.03,-0.01,0.12,0.05,0.69,0.87
199204-201203,0.13,0.38,0.9,0.03,-0.01,0.12,0.05,0.69,0.87
199205-201204,0.13,0.39,0.91,0.03,-0.01,0.12,0.05,0.68,0.87
199206-201205,0.13,0.37,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199207-201206,0.13,0.37,0.89,0.03,-0.01,0.12,0.05,0.69,0.87
199208-201207,0.13,0.37,0.89,0.03,-0.02,0.11,0.05,0.7,0.88
199209-201208,0.13,0.37,0.89,0.03,-0.02,0.11,0.05,0.7,0.88
199210-201209,0.13,0.37,0.89,0.03,-0.02,0.11,0.05,0.7,0.88
199211-201210,0.13,0.37,0.89,0.03,-0.02,0.11,0.05,0.7,0.88
199212-201211,0.13,0.37,0.88,0.03,-0.02,0.11,0.05,0.7,0.88
199301-201212,0.13,0.36,0.88,0.03,-0.02,0.11,0.05,0.71,0.89
199302-201301,0.13,0.35,0.86,0.03,-0.03,0.1,0.05,0.72,0.89
199303-201302,0.13,0.36,0.87,0.03,-0.03,0.1,0.04,0.71,0.89
199304-201303,0.13,0.33,0.84,0.03,-0.03,0.1,0.04,0.73,0.9
199305-201304,0.13,0.33,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199306-201305,0.13,0.34,0.84,0.03,-0.03,0.09,0.04,0.73,0.9
199307-201306,0.13,0.33,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199308-201307,0.13,0.33,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199309-201308,0.13,0.33,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199310-201309,0.13,0.32,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199311-201310,0.13,0.32,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199312-201311,0.13,0.33,0.83,0.03,-0.03,0.09,0.04,0.73,0.9
199401-201312,0.13,0.33,0.83,0.03,-0.03,0.09,0.04,0.74,0.9
199402-201401,0.13,0.32,0.83,0.03,-0.04,0.08,0.04,0.74,0.91
199403-201402,0.13,0.32,0.82,0.03,-0.04,0.08,0.04,0.74,0.91
199404-201403,0.13,0.32,0.82,0.03,-0.04,0.08,0.04,0.74,0.91
199405-201404,0.13,0.31,0.81,0.03,-0.04,0.08,0.04,0.75,0.91
199406-201405,0.13,0.32,0.82,0.03,-0.04,0.08,0.04,0.74,0.91
199407-201406,0.13,0.32,0.82,0.03,-0.04,0.08,0.04,0.74,0.91
199408-201407,0.13,0.32,0.82,0.03,-0.04,0.08,0.04,0.74,0.91
199409-201408,0.13,0.33,0.83,0.03,-0.04,0.08,0.04,0.74,0.9
199410-201409,0.13,0.31,0.81,0.03,-0.04,0.08,0.04,0.74,0.91
199411-201410,0.13,0.31,0.81,0.03,-0.03,0.08,0.04,0.74,0.91
199412-201411,0.13,0.3,0.8,0.03,-0.03,0.08,0.04,0.75,0.91
199501-201412,0.13,0.3,0.79,0.03,-0.03,0.08,0.04,0.75,0.91
199502-201501,0.13,0.3,0.79,0.03,-0.03,0.08,0.04,0.75,0.91
199503-201502,0.13,0.31,0.8,0.03,-0.04,0.07,0.04,0.75,0.91
