start_end_date,const_coef,x1_coef,x2_coef,R2,adj_R2,RMSE
198610-200609,0.62,0.12,0.73,0.75,0.74,0.41
198611-200610,0.62,0.12,0.73,0.75,0.74,0.41
198612-200611,0.63,0.13,0.72,0.75,0.75,0.41
198701-200612,0.63,0.14,0.71,0.75,0.75,0.4
198702-200701,0.64,0.14,0.7,0.75,0.75,0.4
198703-200702,0.64,0.14,0.71,0.75,0.75,0.4
198704-200703,0.64,0.14,0.71,0.75,0.75,0.4
198705-200704,0.63,0.13,0.72,0.75,0.75,0.4
198706-200705,0.63,0.13,0.72,0.75,0.75,0.4
198707-200706,0.62,0.13,0.72,0.75,0.75,0.4
198708-200707,0.62,0.13,0.72,0.75,0.75,0.4
198709-200708,0.62,0.13,0.72,0.75,0.75,0.4
198710-200709,0.62,0.13,0.72,0.75,0.75,0.4
198711-200710,0.63,0.14,0.72,0.75,0.74,0.4
198712-200711,0.63,0.14,0.71,0.75,0.75,0.4
198801-200712,0.63,0.14,0.72,0.75,0.75,0.4
198802-200801,0.63,0.13,0.72,0.75,0.75,0.4
198803-200802,0.63,0.14,0.72,0.75,0.74,0.41
198804-200803,0.61,0.14,0.72,0.75,0.74,0.41
198805-200804,0.53,0.12,0.76,0.74,0.74,0.42
198806-200805,0.53,0.12,0.76,0.75,0.75,0.42
198807-200806,0.52,0.12,0.76,0.76,0.76,0.42
198808-200807,0.58,0.12,0.75,0.75,0.75,0.43
198809-200808,0.6,0.12,0.74,0.75,0.75,0.43
198810-200809,0.6,0.11,0.74,0.75,0.74,0.43
198811-200810,0.62,0.11,0.74,0.74,0.73,0.44
198812-200811,0.59,0.12,0.73,0.73,0.73,0.45
198901-200812,0.62,0.12,0.73,0.73,0.73,0.45
198902-200901,0.6,0.13,0.73,0.73,0.73,0.45
198903-200902,0.61,0.12,0.73,0.74,0.73,0.45
198904-200903,0.64,0.11,0.73,0.73,0.73,0.45
198905-200904,0.65,0.1,0.73,0.73,0.73,0.45
198906-200905,0.63,0.08,0.76,0.72,0.72,0.45
198907-200906,0.63,0.07,0.76,0.72,0.72,0.45
198908-200907,0.63,0.08,0.76,0.72,0.72,0.45
198909-200908,0.63,0.08,0.76,0.72,0.72,0.45
198910-200909,0.64,0.07,0.76,0.72,0.72,0.45
198911-200910,0.64,0.07,0.76,0.72,0.72,0.45
198912-200911,0.63,0.07,0.76,0.72,0.72,0.45
199001-200912,0.64,0.07,0.76,0.72,0.72,0.45
199002-201001,0.65,0.07,0.76,0.72,0.71,0.45
199003-201002,0.64,0.07,0.76,0.71,0.71,0.45
199004-201003,0.65,0.07,0.76,0.71,0.71,0.45
199005-201004,0.64,0.07,0.76,0.71,0.71,0.45
199006-201005,0.65,0.07,0.76,0.71,0.71,0.45
199007-201006,0.65,0.07,0.76,0.71,0.7,0.45
199008-201007,0.66,0.07,0.76,0.71,0.71,0.44
199009-201008,0.68,0.07,0.75,0.7,0.7,0.44
199010-201009,0.7,0.06,0.75,0.69,0.69,0.44
199011-201010,0.69,0.06,0.75,0.68,0.68,0.44
199012-201011,0.68,0.06,0.76,0.68,0.68,0.44
199101-201012,0.68,0.06,0.76,0.68,0.67,0.45
199102-201101,0.66,0.06,0.77,0.68,0.67,0.44
199103-201102,0.64,0.05,0.78,0.68,0.67,0.45
199104-201103,0.62,0.05,0.79,0.68,0.68,0.45
199105-201104,0.64,0.05,0.78,0.68,0.68,0.45
199106-201105,0.64,0.05,0.78,0.68,0.68,0.45
199107-201106,0.63,0.05,0.78,0.68,0.68,0.45
199108-201107,0.63,0.05,0.78,0.68,0.68,0.45
199109-201108,0.63,0.05,0.78,0.69,0.68,0.45
199110-201109,0.63,0.05,0.78,0.69,0.69,0.45
199111-201110,0.63,0.05,0.78,0.69,0.69,0.45
199112-201111,0.63,0.05,0.79,0.69,0.69,0.45
199201-201112,0.64,0.05,0.78,0.69,0.69,0.45
199202-201201,0.64,0.05,0.78,0.69,0.69,0.45
199203-201202,0.64,0.05,0.78,0.69,0.69,0.45
199204-201203,0.64,0.05,0.78,0.69,0.68,0.45
199205-201204,0.65,0.06,0.77,0.69,0.69,0.45
199206-201205,0.63,0.05,0.78,0.69,0.69,0.45
199207-201206,0.63,0.05,0.78,0.69,0.69,0.45
199208-201207,0.63,0.05,0.79,0.69,0.69,0.45
199209-201208,0.63,0.05,0.79,0.69,0.69,0.45
199210-201209,0.63,0.05,0.79,0.69,0.69,0.45
199211-201210,0.63,0.05,0.79,0.69,0.69,0.45
199212-201211,0.62,0.05,0.79,0.7,0.69,0.44
199301-201212,0.62,0.04,0.8,0.69,0.69,0.45
199302-201301,0.6,0.04,0.81,0.7,0.7,0.44
199303-201302,0.61,0.04,0.8,0.7,0.7,0.44
199304-201303,0.58,0.03,0.81,0.71,0.7,0.43
199305-201304,0.58,0.03,0.82,0.71,0.71,0.43
199306-201305,0.59,0.03,0.81,0.71,0.71,0.43
199307-201306,0.58,0.03,0.82,0.71,0.71,0.43
199308-201307,0.58,0.03,0.82,0.71,0.71,0.43
199309-201308,0.58,0.03,0.82,0.71,0.71,0.43
199310-201309,0.58,0.03,0.82,0.71,0.71,0.43
199311-201310,0.58,0.03,0.82,0.71,0.71,0.43
199312-201311,0.58,0.03,0.82,0.71,0.71,0.43
199401-201312,0.58,0.03,0.82,0.71,0.71,0.43
199402-201401,0.57,0.02,0.82,0.71,0.71,0.43
199403-201402,0.57,0.02,0.82,0.71,0.71,0.43
199404-201403,0.57,0.02,0.82,0.71,0.71,0.43
199405-201404,0.56,0.02,0.83,0.71,0.71,0.43
199406-201405,0.57,0.02,0.82,0.71,0.71,0.43
199407-201406,0.57,0.02,0.83,0.71,0.71,0.43
199408-201407,0.57,0.02,0.82,0.71,0.71,0.43
199409-201408,0.58,0.02,0.82,0.71,0.71,0.43
199410-201409,0.56,0.02,0.83,0.71,0.71,0.43
199411-201410,0.56,0.02,0.83,0.72,0.71,0.42
199412-201411,0.55,0.02,0.83,0.72,0.72,0.42
199501-201412,0.54,0.02,0.83,0.72,0.72,0.42
199502-201501,0.55,0.02,0.83,0.72,0.72,0.42
199503-201502,0.55,0.02,0.83,0.72,0.72,0.42
199504-201503,0.55,0.02,0.83,0.72,0.71,0.42
199505-201504,0.56,0.02,0.83,0.72,0.71,0.42
199506-201505,0.55,0.02,0.83,0.72,0.72,0.42
199507-201506,0.55,0.02,0.83,0.72,0.72,0.42
199508-201507,0.55,0.02,0.83,0.72,0.72,0.42
199509-201508,0.55,0.02,0.83,0.72,0.71,0.42
199510-201509,0.55,0.02,0.83,0.72,0.72,0.42
199511-201510,0.55,0.02,0.83,0.72,0.72,0.42
199512-201511,0.55,0.02,0.83,0.72,0.72,0.42
199601-201512,0.55,0.02,0.83,0.72,0.72,0.42
199602-201601,0.54,0.02,0.83,0.72,0.72,0.42
199603-201602,0.54,0.02,0.83,0.72,0.72,0.42
199604-201603,0.55,0.02,0.83,0.72,0.72,0.42
199605-201604,0.56,0.02,0.83,0.72,0.72,0.42
199606-201605,0.53,0.02,0.83,0.72,0.72,0.42
199607-201606,0.53,0.02,0.83,0.72,0.72,0.42
199608-201607,0.53,0.02,0.83,0.72,0.72,0.42
199609-201608,0.53,0.02,0.83,0.72,0.72,0.42
199610-201609,0.53,0.02,0.83,0.72,0.72,0.42
199611-201610,0.53,0.02,0.83,0.72,0.72,0.42
199612-201611,0.53,0.02,0.83,0.72,0.72,0.42
199701-201612,0.53,0.02,0.83,0.72,0.72,0.42
199702-201701,0.53,0.02,0.83,0.73,0.72,0.41
199703-201702,0.53,0.02,0.83,0.73,0.72,0.41
199704-201703,0.52,0.02,0.84,0.73,0.72,0.42
199705-201704,0.52,0.02,0.84,0.73,0.72,0.41
199706-201705,0.52,0.02,0.84,0.73,0.72,0.41
199707-201706,0.52,0.02,0.84,0.73,0.73,0.41
199708-201707,0.52,0.02,0.84,0.73,0.73,0.41
199709-201708,0.52,0.02,0.84,0.73,0.73,0.41
199710-201709,0.52,0.02,0.84,0.73,0.73,0.41
199711-201710,0.51,0.02,0.84,0.73,0.73,0.41
199712-201711,0.52,0.02,0.84,0.73,0.73,0.41
199801-201712,0.52,0.02,0.84,0.73,0.73,0.41
199802-201801,0.53,0.02,0.84,0.73,0.73,0.41
199803-201802,0.52,0.02,0.84,0.73,0.73,0.41
199804-201803,0.53,0.02,0.84,0.73,0.73,0.41
199805-201804,0.52,0.02,0.84,0.73,0.73,0.41
199806-201805,0.52,0.02,0.84,0.73,0.73,0.41
199807-201806,0.53,0.02,0.84,0.73,0.73,0.41
199808-201807,0.53,0.02,0.84,0.73,0.73,0.41
199809-201808,0.54,0.02,0.83,0.73,0.72,0.41
199810-201809,0.54,0.02,0.83,0.72,0.72,0.41
199811-201810,0.54,0.02,0.83,0.72,0.72,0.41
199812-201811,0.54,0.02,0.83,0.72,0.72,0.41
199901-201812,0.54,0.02,0.83,0.72,0.72,0.41
199902-201901,0.54,0.02,0.83,0.72,0.72,0.41
199903-201902,0.54,0.02,0.83,0.72,0.72,0.41
199904-201903,0.54,0.02,0.83,0.72,0.72,0.41
199905-201904,0.54,0.02,0.83,0.72,0.72,0.41
199906-201905,0.55,0.02,0.83,0.72,0.72,0.41
199907-201906,0.55,0.02,0.83,0.72,0.72,0.41
199908-201907,0.55,0.02,0.83,0.72,0.72,0.41
199909-201908,0.55,0.02,0.83,0.72,0.72,0.41
199910-201909,0.54,0.02,0.83,0.72,0.72,0.41
199911-201910,0.54,0.02,0.83,0.72,0.72,0.41
199912-201911,0.53,0.02,0.83,0.72,0.72,0.41
200001-201912,0.53,0.02,0.84,0.72,0.72,0.41
200002-202001,0.53,0.02,0.84,0.72,0.72,0.41
200003-202002,0.52,0.01,0.84,0.72,0.72,0.41
200004-202003,0.5,0.02,0.84,0.73,0.72,0.41
200005-202004,0.52,0.01,0.84,0.72,0.72,0.41
200006-202005,0.52,0.01,0.84,0.72,0.72,0.41
200007-202006,0.52,0.01,0.84,0.72,0.72,0.41
200008-202007,0.52,0.01,0.84,0.72,0.72,0.41
200009-202008,0.52,0.01,0.84,0.72,0.72,0.41
200010-202009,0.52,0.01,0.84,0.73,0.72,0.41
200011-202010,0.51,0.01,0.84,0.73,0.72,0.41
200012-202011,0.52,0.01,0.84,0.73,0.72,0.41
200101-202012,0.52,0.01,0.84,0.73,0.72,0.41
200102-202101,0.51,0.01,0.85,0.73,0.73,0.41
200103-202102,0.51,0.01,0.85,0.73,0.73,0.41
200104-202103,0.5,0.01,0.85,0.73,0.73,0.41
